word,pos,prepos,nxtpos,ontotag,onto-BIO,onto-predict,dict-tag,dict-score,dict-BIO
a,DT,VB,JJ,NA,B,NA,0,0,B
dull,JJ,DT,NN,Qualitative_Concept,B,NA,0,0,B
ache,NN,JJ,IN,Sign_or_Symptom,I,symptom,1,0,B
between,IN,NN,NN,Spatial_Concept,B,NA,0,0,B
shoulder,NN,IN,NNS,Body_Part_Organ_or_Organ_Component,B,organ,2,0,B
blades,NNS,NN,.,Body_Part_Organ_or_Organ_Component,I,organ,2,0,B
.,.,NNS,end,NA,B,NA,0,0,B
sometimes,RB,start,VB,Temporal_Concept,B,NA,4,8,B
get,VB,RB,NNS,Intellectual_Product,B,NA,0,0,B
headaches,NNS,VB,CC,Intellectual_Product,I,NA,1,0,B
and,CC,NNS,JJ,Idea_or_Concept,B,NA,4,0,B
momentary,JJ,CC,NN,NA,B,NA,0,0,B
nausea,NN,JJ,.,Sign_or_Symptom,B,symptom,1,0,B
.,.,NN,end,NA,B,NA,0,0,B
sometimes,RB,start,RB,Temporal_Concept,B,NA,4,8,B
also,RB,RB,NN,NA,B,NA,0,0,B
shortness,NN,RB,IN,Sign_or_Symptom,B,symptom,0,0,B
of,IN,NN,NN,Sign_or_Symptom,I,symptom,0,0,B
breath,NN,IN,CC,Sign_or_Symptom,I,symptom,1,0,B
but,CC,NN,NN,Mental_or_Behavioral_Dysfunction,B,symptom,4,0,B
i,NN,CC,VB,NA,B,NA,0,0,B
be,VB,NN,DT,NA,B,NA,0,0,B
an,DT,VB,JJ,NA,B,NA,0,0,B
anxious,JJ,DT,NN,Mental_or_Behavioral_Dysfunction,B,symptom,0,0,B
person,NN,JJ,IN,Population_Group,B,NA,0,0,B
in,IN,NN,DT,NA,B,NA,0,0,B
any,DT,IN,NN,Qualitative_Concept,B,NA,0,0,B
case,NN,DT,.,Quantitative_Concept,B,NA,0,0,B
.,.,NN,end,NA,B,NA,0,0,B
i,NN,start,VBP,NA,B,NA,0,0,B
think,VBP,NN,PRP$,Mental_Process,B,NA,4,8,B
my,PRP$,VBP,NN,NA,B,NA,0,0,B
eye,NN,PRP$,CC,Body_Part_Organ_or_Organ_Component,B,organ,2,0,B
and,CC,NN,NNS,Idea_or_Concept,B,NA,4,0,B
ears,NNS,CC,VB,Body_Part_Organ_or_Organ_Component,B,organ,2,0,B
be,VB,NNS,RB,NA,B,NA,0,0,B
affect,RB,VB,RB,Mental_Process,B,NA,0,0,B
too,RB,RB,.,NA,B,NA,0,0,B
.,.,RB,end,NA,B,NA,0,0,B
also,RB,start,VBP,NA,B,NA,0,0,B
tire,VBP,RB,RB,Finding,B,NA,1,0,B
easily,RB,VBP,.,Finding,I,NA,4,5,B
.,.,RB,end,NA,B,NA,0,0,B
several,JJ,start,NNS,Quantitative_Concept,B,NA,4,8,B
areas,NNS,JJ,IN,Spatial_Concept,B,NA,0,0,B
of,IN,NNS,DT,Sign_or_Symptom,I,symptom,0,0,B
the,DT,IN,NN,Spatial_Concept,I,NA,4,0,B
skin,NN,DT,VB,Body_System,B,organ,2,0,B
develop,VB,NN,DT,NA,B,NA,4,7,B
a,DT,VB,.,NA,B,NA,0,0,B
.,.,DT,end,NA,B,NA,0,0,B
i,NNS,start,VBP,NA,B,NA,0,0,B
have,VBP,NNS,CD,Qualitative_Concept,B,NA,0,0,B
2,CD,VBP,NN,NA,B,NA,0,0,B
cat,NN,CD,WP,Mammal,B,NA,0,0,B
who,WP,NN,VBP,NA,B,NA,0,0,B
have,VBP,WP,VBP,Qualitative_Concept,B,NA,0,0,B
have,VBP,VBP,VBN,Qualitative_Concept,B,NA,0,0,B
fleas,VBN,VBP,RB,Eukaryote,B,NA,0,0,B
recently,RB,VBN,CC,Temporal_Concept,B,NA,5,0,B
and,CC,RB,JJ,Idea_or_Concept,B,NA,4,0,B
i,JJ,CC,VBP,NA,B,NA,0,0,B
walk,VBP,JJ,DT,Daily_or_Recreational_Activity,B,normal_activity,0,0,B
a,DT,VBP,NNS,NA,B,NA,0,0,B
friends,NNS,DT,NN,Population_Group,B,NA,4,0,B
dog,NN,NNS,IN,Mammal,B,NA,0,0,B
in,IN,NN,NN,NA,B,NA,0,0,B
field,NN,IN,RB,Conceptual_Entity,B,NA,0,0,B
nearby,RB,NN,.,Qualitative_Concept,B,NA,0,0,B
.,.,RB,end,NA,B,NA,0,0,B
i,NN,start,VB,NA,B,NA,0,0,B
be,VB,NN,IN,NA,B,NA,0,0,B
wonder,IN,VB,IN,NA,B,NA,0,0,B
whether,IN,IN,NN,NA,B,NA,0,0,B
i,NN,IN,VBP,NA,B,NA,0,0,B
give,VBP,NN,NN,Functional_Concept,B,NA,0,0,B
get,NN,VBP,NNS,Intellectual_Product,B,NA,0,0,B
lymes,NNS,NN,VBP,Disease_or_Syndrome,B,disease,0,0,B
disease.,VBP,NNS,``,NA,B,NA,0,0,B
``,``,VBP,VB,NA,B,NA,0,0,B
],VB,``,end,NA,B,NA,0,0,B
[,NN,start,NN,NA,B,NA,0,0,B
i,NN,NN,VBP,NA,B,NA,0,0,B
have,VBP,NN,DT,Qualitative_Concept,B,NA,0,0,B
an,DT,VBP,NN,NA,B,NA,0,0,B
injury,NN,DT,TO,Injury_or_Poisoning,B,injury,0,0,B
to,TO,NN,DT,NA,B,NA,0,0,B
a,DT,TO,NN,NA,B,NA,0,0,B
limb,NN,DT,.,Body_Part_Organ_or_Organ_Component,B,organ,0,0,B
.,.,NN,end,NA,B,NA,0,0,B
i,NNS,start,VBP,NA,B,NA,0,0,B
have,VBP,NNS,JJ,Qualitative_Concept,B,NA,0,0,B
vigorous,JJ,VBP,NN,NA,B,NA,0,0,B
exercise,NN,JJ,.,Daily_or_Recreational_Activity,B,normal_activity,0,0,B
.,.,NN,end,NA,B,NA,0,0,B
the,DT,start,JJ,Disease_or_Syndrome,B,disease,4,0,B
severe,JJ,DT,NN,Qualitative_Concept,B,NA,4,2,B
pain,NN,JJ,RB,Sign_or_Symptom,B,symptom,1,0,B
usually,RB,NN,VBN,Intellectual_Product,B,NA,4,6,B
come,VBN,RB,IN,Organic_Chemical,B,NA,0,0,B
on,IN,VBN,RB,NA,B,NA,0,0,B
fairly,RB,IN,RB,NA,B,NA,0,0,B
quickly,RB,RB,IN,NA,B,NA,0,0,B
after,IN,RB,NN,Temporal_Concept,B,NA,4,10,B
injury,NN,IN,IN,Injury_or_Poisoning,B,injury,0,0,B
within,IN,NN,CD,Spatial_Concept,B,NA,4,0,B
48,CD,IN,NNS,Temporal_Concept,B,NA,0,0,B
hours,NNS,CD,.,Temporal_Concept,I,NA,5,0,B
.,.,NNS,end,NA,B,NA,0,0,B
pain,NN,start,RB,Sign_or_Symptom,B,symptom,1,0,B
usually,RB,NN,VBD,Intellectual_Product,B,NA,4,6,B
occur,VBD,RB,RB,Activity,B,NA,0,0,B
even,RB,VBD,IN,NA,B,NA,0,0,B
at,IN,RB,NN,Functional_Concept,B,NA,0,0,B
rest,NN,IN,CC,Functional_Concept,I,NA,0,0,B
and,CC,NN,VB,Idea_or_Concept,B,NA,4,0,B
be,VB,CC,RB,NA,B,NA,0,0,B
also,RB,VB,VB,NA,B,NA,0,0,B
be,VB,RB,JJR,NA,B,NA,0,0,B
worse,JJR,VB,IN,Finding,B,NA,4,2,B
on,IN,JJR,NN,NA,B,NA,0,0,B
movement,NN,IN,.,Organism_Function,B,symptom,0,0,B
.,.,NN,end,NA,B,NA,0,0,B
pain,NN,start,VB,Sign_or_Symptom,B,symptom,1,0,B
be,VB,NN,JJ,NA,B,NA,0,0,B
likely,JJ,VB,TO,Idea_or_Concept,B,NA,4,8,B
to,TO,JJ,VB,NA,B,NA,0,0,B
occur,VB,TO,IN,Activity,B,NA,0,0,B
after,IN,VB,DT,Temporal_Concept,B,NA,4,10,B
any,DT,IN,NN,Qualitative_Concept,B,NA,0,0,B
injury,NN,DT,.,Injury_or_Poisoning,B,injury,0,0,B
.,.,NN,end,NA,B,NA,0,0,B
the,DT,start,NN,Disease_or_Syndrome,B,disease,4,0,B
pain,NN,DT,NN,Sign_or_Symptom,B,symptom,1,0,B
tend,NN,NN,TO,NA,B,NA,2,0,B
to,TO,NN,VB,NA,B,NA,0,0,B
be,VB,TO,JJ,NA,B,NA,0,0,B
severe,JJ,VB,CC,Qualitative_Concept,B,NA,4,2,B
and,CC,JJ,IN,Idea_or_Concept,B,NA,4,0,B
out,IN,CC,IN,Spatial_Concept,B,NA,3,0,B
of,IN,IN,NN,NA,B,NA,0,0,B
proportion,NN,IN,TO,Quantitative_Concept,B,NA,0,0,B
to,TO,NN,DT,NA,B,NA,0,0,B
the,DT,TO,NN,Disease_or_Syndrome,B,disease,4,0,B
injury,NN,DT,.,Injury_or_Poisoning,B,injury,0,0,B
.,.,NN,end,NA,B,NA,0,0,B
i,NN,start,VB,NA,B,NA,0,0,B
be,VB,NN,VBN,NA,B,NA,0,0,B
feel,VBN,VB,DT,Mental_Process,B,NA,0,0,B
a,DT,VBN,NN,NA,B,NA,0,0,B
burn,NN,DT,NN,Injury_or_Poisoning,B,injury,0,0,B
sensation,NN,NN,CC,Organ_or_Tissue_Function,B,NA,0,0,B
or,CC,NN,DT,NA,B,NA,0,0,B
a,DT,CC,NN,NA,B,NA,0,0,B
tightness,NN,DT,IN,Qualitative_Concept,B,NA,0,0,B
around,IN,NN,DT,Idea_or_Concept,B,NA,0,0,B
the,DT,IN,JJ,Disease_or_Syndrome,B,disease,4,0,B
affect,JJ,DT,NN,Mental_Process,B,NA,0,0,B
area,NN,JJ,.,Finding,I,NA,0,0,B
.,.,NN,end,NA,B,NA,0,0,B
pin,NN,start,CC,Sign_or_Symptom,B,symptom,0,0,B
and,CC,NN,JJ,Idea_or_Concept,B,NA,4,0,B
needle,JJ,CC,VB,Sign_or_Symptom,I,symptom,0,0,B
be,VB,JJ,RB,NA,B,NA,0,0,B
also,RB,VB,VBP,NA,B,NA,0,0,B
occur,VBP,RB,IN,Activity,B,NA,0,0,B
in,IN,VBP,DT,NA,B,NA,0,0,B
the,DT,IN,NN,Disease_or_Syndrome,B,disease,4,0,B
leg,NN,DT,.,Body_Location_or_Region,B,organ,2,0,B
.,.,NN,end,NA,B,NA,0,0,B
i,NN,start,VB,NA,B,NA,0,0,B
be,VB,NN,RB,NA,B,NA,0,0,B
also,RB,VB,VBP,NA,B,NA,0,0,B
have,VBP,RB,VB,Qualitative_Concept,B,NA,0,0,B
reduce,VB,VBP,NN,Qualitative_Concept,B,NA,4,8,B
sensation,NN,VB,WRB,Organ_or_Tissue_Function,B,NA,0,0,B
when,WRB,NN,DT,Qualitative_Concept,B,NA,0,0,B
the,DT,WRB,NN,Disease_or_Syndrome,B,disease,4,0,B
skin,NN,DT,IN,Body_System,B,organ,2,0,B
on,IN,NN,DT,NA,B,NA,0,0,B
the,DT,IN,JJ,Disease_or_Syndrome,B,disease,4,0,B
affect,JJ,DT,NN,Mental_Process,B,NA,0,0,B
limb,NN,JJ,VB,Body_Part_Organ_or_Organ_Component,B,organ,0,0,B
be,VB,NN,JJ,NA,B,NA,0,0,B
touch,JJ,VB,.,Organ_or_Tissue_Function,B,NA,0,0,B
.,.,JJ,end,NA,B,NA,0,0,B
affect,JJ,start,NN,Mental_Process,B,NA,0,0,B
limb,NN,JJ,VB,Body_Part_Organ_or_Organ_Component,B,organ,0,0,B
be,VB,NN,RB,NA,B,NA,0,0,B
also,RB,VB,JJ,NA,B,NA,0,0,B
pale,JJ,RB,VB,Sign_or_Symptom,B,symptom,0,0,B
be,VB,JJ,VBN,NA,B,NA,0,0,B
feel,VBN,VB,JJ,Mental_Process,B,NA,0,0,B
cold,JJ,VBN,.,Sign_or_Symptom,I,symptom,0,0,B
.,.,JJ,end,NA,B,NA,0,0,B
as,IN,start,DT,NA,B,NA,0,0,B
the,DT,IN,JJ,Disease_or_Syndrome,B,disease,4,0,B
syndrome,JJ,DT,NN,Disease_or_Syndrome,I,disease,3,0,B
progress,NN,JJ,NN,Functional_Concept,B,NA,4,7,B
i,NN,NN,VB,NA,B,NA,0,0,B
be,VB,NN,NN,NA,B,NA,0,0,B
experience,NN,VB,VB,Mental_Process,B,NA,0,0,B
reduce,VB,NN,NN,Qualitative_Concept,B,NA,4,8,B
strength,NN,VB,IN,Idea_or_Concept,B,NA,4,7,B
in,IN,NN,DT,NA,B,NA,0,0,B
the,DT,IN,JJ,Disease_or_Syndrome,B,disease,4,0,B
affect,JJ,DT,NN,Mental_Process,B,NA,0,0,B
arm,NN,JJ,CC,Body_Location_or_Region,B,organ,2,0,B
or,CC,NN,NN,NA,B,NA,0,0,B
leg,NN,CC,.,Body_Location_or_Region,B,organ,2,0,B
.,.,NN,end,NA,B,NA,0,0,B
also,RB,start,NN,NA,B,NA,0,0,B
paralysis,NN,RB,IN,Finding,B,NA,1,0,B
of,IN,NN,DT,NA,B,NA,0,0,B
the,DT,IN,JJ,Disease_or_Syndrome,B,disease,4,0,B
affect,JJ,DT,NN,Mental_Process,B,NA,0,0,B
limb,NN,JJ,VB,Body_Part_Organ_or_Organ_Component,B,organ,0,0,B
be,VB,NN,RB,NA,B,NA,0,0,B
sometimes,RB,VB,JJ,Temporal_Concept,B,NA,4,8,B
occur.,JJ,RB,'',NA,B,NA,0,0,B
','',JJ,NN,NA,B,NA,0,0,B
],NN,'',end,NA,B,NA,0,0,B
[,NN,start,NN,NA,B,NA,0,0,B
i,NN,NN,VB,NA,B,NA,0,0,B
be,VB,NN,DT,NA,B,NA,0,0,B
a,DT,VB,NN,NA,B,NA,0,0,B
breast,NN,DT,NN,Organism_Function,B,symptom,2,0,B
feed,NN,NN,NN,Organism_Function,I,symptom,0,0,B
woman,NN,NN,.,Population_Group,B,NA,4,13,B
.,.,NN,end,NA,B,NA,0,0,B
i,NNS,start,VBP,NA,B,NA,0,0,B
have,VBP,NNS,NN,Qualitative_Concept,B,NA,0,0,B
hardness,NN,VBP,NN,Qualitative_Concept,B,NA,0,0,B
pain,NN,NN,NN,Sign_or_Symptom,B,symptom,3,0,I
redness,NN,NN,CC,Finding,B,NA,0,0,B
and,CC,NN,NN,Idea_or_Concept,B,NA,4,0,B
swell,NN,CC,IN,Pathologic_Function,B,NA,1,0,B
in,IN,NN,DT,NA,B,NA,0,0,B
the,DT,IN,NN,NA,B,NA,4,0,B
breast,NN,DT,.,Organism_Function,B,symptom,2,0,B
.,.,NN,end,NA,B,NA,0,0,B
it,PRP,start,RB,NA,B,NA,0,0,B
often,RB,PRP,VBZ,Temporal_Concept,B,NA,5,0,B
start,VBZ,RB,IN,Temporal_Concept,B,NA,0,0,B
in,IN,VBZ,DT,NA,B,NA,0,0,B
a,DT,IN,NN,NA,B,NA,0,0,B
wedge,NN,DT,NN,Spatial_Concept,B,NA,0,0,B
shape,NN,NN,NN,Spatial_Concept,I,NA,4,7,B
section,NN,NN,IN,Quantitative_Concept,B,NA,1,0,B
of,IN,NN,NN,NA,B,NA,0,0,B
breast,NN,IN,.,Organism_Function,B,symptom,2,0,B
.,.,NN,end,NA,B,NA,0,0,B
it,PRP,start,RB,NA,B,NA,0,0,B
usually,RB,PRP,VBP,Intellectual_Product,B,NA,4,6,B
occur,VBP,RB,IN,Activity,B,NA,0,0,B
in,IN,VBP,CD,NA,B,NA,0,0,B
one,CD,IN,NN,Quantitative_Concept,B,NA,2,0,B
breast,NN,CD,RB,Organism_Function,B,symptom,2,0,B
only,RB,NN,.,Quantitative_Concept,B,NA,0,0,B
.,.,RB,end,NA,B,NA,0,0,B
when,WRB,start,NN,Qualitative_Concept,B,NA,0,0,B
i,NN,WRB,VBP,NA,B,NA,0,0,B
fee,VBP,NN,PRP$,Quantitative_Concept,B,NA,2,0,B
my,PRP$,VBP,NN,NA,B,NA,0,0,B
baby,NN,PRP$,DT,Patient_or_Disabled_Group,B,NA,0,0,B
the,DT,NN,NN,NA,B,NA,4,0,B
pain,NN,DT,NN,Sign_or_Symptom,B,symptom,3,0,I
increase,NN,NN,.,Functional_Concept,B,NA,4,7,B
.,.,NN,end,NA,B,NA,0,0,B
i,NN,start,RB,NA,B,NA,0,0,B
also,RB,NN,VB,NA,B,NA,0,0,B
develop,VB,RB,DT,NA,B,NA,4,7,B
a,DT,VB,JJ,NA,B,NA,0,0,B
high,JJ,DT,NN,Phenomenon_or_Process,B,NA,4,3,B
temperature,NN,JJ,CC,Phenomenon_or_Process,I,NA,0,0,B
and,CC,NN,VB,Idea_or_Concept,B,NA,4,0,B
feel,VB,CC,RB,Sign_or_Symptom,B,symptom,0,0,B
unwell,RB,VB,IN,Sign_or_Symptom,I,symptom,0,0,B
with,IN,RB,NNS,Qualitative_Concept,B,NA,4,0,B
flu,NNS,IN,IN,Sign_or_Symptom,B,symptom,1,0,B
like,IN,NNS,NNS,Sign_or_Symptom,I,symptom,0,0,B
symptoms,NNS,IN,.,Sign_or_Symptom,I,symptom,0,0,B
.,.,NNS,end,NA,B,NA,0,0,B
these,DT,start,VBP,Intellectual_Product,B,NA,4,0,B
include,VBP,DT,NN,Idea_or_Concept,B,NA,0,0,B
muscle,NN,VBP,NN,Sign_or_Symptom,B,symptom,3,0,B
pain,NN,NN,NNS,Sign_or_Symptom,B,symptom,3,0,I
headaches,NNS,NN,CC,Sign_or_Symptom,B,symptom,1,0,B
and,CC,NNS,VB,Idea_or_Concept,B,NA,4,0,B
feel,VB,CC,NNS,Sign_or_Symptom,B,symptom,0,0,B
tmyed,NNS,VB,CC,NA,B,NA,0,0,B
and,CC,NNS,NN,Idea_or_Concept,B,NA,4,0,B
low.,NN,CC,'',NA,B,NA,4,4,B
','',NN,NN,NA,B,NA,0,0,B
],NN,'',end,NA,B,NA,0,0,B
[,NN,start,EX,NA,B,NA,0,0,B
there,EX,NN,VB,NA,B,NA,4,0,B
be,VB,EX,JJ,NA,B,NA,0,0,B
small,JJ,VB,JJ,Quantitative_Concept,B,NA,3,0,B
itchy,JJ,JJ,JJ,Sign_or_Symptom,B,symptom,1,0,B
painful,JJ,JJ,NN,Sign_or_Symptom,B,symptom,0,0,B
lump,NN,JJ,WDT,Finding,B,NA,0,0,B
that,WDT,NN,VBZ,NA,B,NA,4,0,B
develop,VBZ,WDT,IN,NA,B,NA,4,7,B
on,IN,VBZ,DT,NA,B,NA,0,0,B
the,DT,IN,NN,NA,B,NA,4,0,B
skin,NN,DT,IN,Body_System,B,organ,2,0,B
after,IN,NN,VB,Temporal_Concept,B,NA,4,10,B
be,VB,IN,JJ,NA,B,NA,0,0,B
expose,JJ,VB,TO,Clinical_Attribute,B,NA,0,0,B
to,TO,JJ,DT,Clinical_Attribute,I,NA,0,0,B
the,DT,TO,NN,NA,B,NA,4,0,B
cold,NN,DT,.,Natural_Phenomenon_or_Process,B,NA,0,0,B
.,.,NN,end,NA,B,NA,0,0,B
they,PRP,start,VB,NA,B,NA,4,0,B
be,VB,PRP,VBN,NA,B,NA,0,0,B
join,VBN,VB,RB,NA,B,NA,2,0,B
together,RB,VBN,TO,Qualitative_Concept,B,NA,0,0,B
to,TO,RB,VB,Clinical_Attribute,I,NA,0,0,B
form,VB,TO,DT,Qualitative_Concept,B,NA,0,0,B
a,DT,VB,JJR,NA,B,NA,0,0,B
larger,JJR,DT,NN,Quantitative_Concept,B,NA,4,7,B
swell,NN,JJR,JJ,Pathologic_Function,B,NA,1,0,B
red,JJ,NN,NN,Qualitative_Concept,B,NA,4,15,B
area,NN,JJ,IN,Spatial_Concept,B,NA,0,0,B
of,IN,NN,NN,NA,B,NA,0,0,B
skin,NN,IN,.,Body_System,B,organ,2,0,B
.,.,NN,end,NA,B,NA,0,0,B
a,DT,start,NN,NA,B,NA,0,0,B
burn,NN,DT,NN,Injury_or_Poisoning,B,injury,0,0,B
sensation,NN,NN,VB,Organ_or_Tissue_Function,B,NA,0,0,B
be,VB,NN,RB,NA,B,NA,0,0,B
there,RB,VB,.,NA,B,NA,4,0,B
.,.,RB,end,NA,B,NA,0,0,B
they,PRP,start,VB,NA,B,NA,4,0,B
be,VB,PRP,RB,NA,B,NA,0,0,B
usually,RB,VB,VBN,Intellectual_Product,B,NA,4,6,B
red,VBN,RB,IN,Qualitative_Concept,B,NA,4,15,B
at,IN,VBN,JJ,NA,B,NA,0,0,B
first,JJ,IN,CC,Quantitative_Concept,B,NA,0,0,B
but,CC,JJ,VB,Mental_or_Behavioral_Dysfunction,B,symptom,4,0,B
be,VB,CC,VBN,NA,B,NA,0,0,B
become,VBN,VB,JJ,NA,B,NA,0,0,B
purple,JJ,VBN,.,Qualitative_Concept,B,NA,0,0,B
.,.,JJ,end,NA,B,NA,0,0,B
pain,NN,start,CC,Sign_or_Symptom,B,symptom,1,0,B
and,CC,NN,NN,Sign_or_Symptom,I,symptom,4,0,B
tenderness,NN,CC,IN,Sign_or_Symptom,I,symptom,3,0,B
over,IN,NN,DT,Spatial_Concept,B,NA,0,0,B
the,DT,IN,NN,NA,B,NA,4,0,B
lump,NN,DT,.,Finding,B,NA,0,0,B
.,.,NN,end,NA,B,NA,0,0,B
they,PRP,start,VB,NA,B,NA,4,0,B
be,VB,PRP,JJ,NA,B,NA,0,0,B
last,JJ,VB,IN,Qualitative_Concept,B,NA,4,10,B
for,IN,JJ,CD,Qualitative_Concept,B,NA,0,0,B
10,CD,IN,NN,Temporal_Concept,B,NA,0,0,B
days.,NN,CD,'',NA,B,NA,0,0,B
','',NN,NN,NA,B,NA,0,0,B
],NN,'',end,NA,B,NA,0,0,B
[,NN,start,RB,NA,B,NA,0,0,B
there,RB,NN,VB,NA,B,NA,4,0,B
be,VB,RB,RB,NA,B,NA,0,0,B
usually,RB,VB,DT,Intellectual_Product,B,NA,4,6,B
a,DT,RB,JJ,NA,B,NA,0,0,B
seasonal,JJ,DT,NN,Temporal_Concept,B,NA,0,0,B
outbreak,NN,JJ,IN,Phenomenon_or_Process,B,NA,0,0,B
of,IN,NN,JJ,Sign_or_Symptom,I,symptom,0,0,B
flu,JJ,IN,NN,Disease_or_Syndrome,B,disease,1,0,B
influenza,NN,JJ,DT,Disease_or_Syndrome,B,disease,3,0,B
each,DT,NN,NN,Quantitative_Concept,B,NA,0,0,B
winter,NN,DT,.,Temporal_Concept,B,NA,0,0,B
.,.,NN,end,NA,B,NA,0,0,B
i,NNS,start,VBP,NA,B,NA,0,0,B
have,VBP,NNS,DT,Qualitative_Concept,B,NA,0,0,B
a,DT,VBP,JJ,NA,B,NA,0,0,B
high,JJ,DT,NN,Sign_or_Symptom,B,symptom,4,3,B
temperature,NN,JJ,NN,Phenomenon_or_Process,I,NA,0,0,B
fever,NN,NN,NN,Sign_or_Symptom,I,symptom,1,0,B
ache,NN,NN,CC,Sign_or_Symptom,B,symptom,1,0,B
and,CC,NN,NN,Idea_or_Concept,B,NA,4,0,B
pain,NN,CC,IN,Sign_or_Symptom,B,symptom,1,0,B
in,IN,NN,NN,NA,B,NA,0,0,B
