word,pos,prepos,nxtpos,ontotag,onto-BIO,onto-predict,dict-tag,dict-score,dict-BIO,tag,bio
different,JJ,CD,NNS,Qualitative_Concept,B,NA,0,0,B,others,i
ads,NNS,JJ,.,NA,B,NA,0,0,B,others,i
.,.,NNS,end,NA,B,NA,0,0,B,others,B
200mg,CD,start,NN,NA,B,NA,4,11,B,modifier,B
quetiapine,NN,CD,VB,Pharmacologic_Substance,B,NA,0,0,B,medication,i
be,VB,NN,WP,NA,B,NA,0,0,B,others,B
what,WP,VB,JJ,NA,B,NA,0,0,B,others,B
i,JJ,WP,VB,NA,B,NA,0,0,B,others,B
be,VB,JJ,IN,NA,B,NA,0,0,B,others,B
on,IN,VB,RB,NA,B,NA,0,0,B,others,B
now,RB,IN,CC,Temporal_Concept,B,NA,0,0,B,others,B
but,CC,RB,RB,Mental_or_Behavioral_Dysfunction,B,symptom,4,0,B,others,B
i,RB,CC,VB,NA,B,NA,0,0,B,others,B
be,VB,RB,VBN,NA,B,NA,0,0,B,others,B
feel,VBN,VB,IN,Mental_Process,B,NA,0,0,B,others,B
like,IN,VBN,NN,Mental_Process,B,NA,0,0,B,others,B
i,NN,IN,VBP,NA,B,NA,0,0,B,others,B
want,VBP,NN,TO,NA,B,NA,4,8,B,others,B
to,TO,VBP,VB,NA,B,NA,0,0,B,others,B
cancel,VB,TO,PRP$,Qualitative_Concept,B,NA,3,0,B,others,B
my,PRP$,VB,NNS,NA,B,NA,0,0,B,others,B
appointments,NNS,PRP$,CC,Idea_or_Concept,B,NA,0,0,B,others,B
and,CC,NNS,VB,Idea_or_Concept,B,NA,4,0,B,others,B
stop,VB,CC,VB,Temporal_Concept,B,NA,0,0,B,others,B
take,VB,VB,PRP$,Health_Care_Activity,B,medication,0,0,B,others,i
my,PRP$,VB,NNS,NA,B,NA,0,0,B,others,i
meds,NNS,PRP$,IN,NA,B,NA,6,1,B,medication,i
because,IN,NNS,WP,NA,B,NA,0,0,B,others,B
what,WP,IN,IN,NA,B,NA,0,0,B,others,B
if,IN,WP,EX,NA,B,NA,0,0,B,others,B
there,EX,IN,VB,NA,B,NA,4,0,B,others,B
be,VB,EX,RB,NA,B,NA,0,0,B,others,B
not,RB,VB,NN,Qualitative_Concept,I,NA,4,5,B,modifier,B
anything,NN,RB,JJ,NA,B,NA,0,0,B,others,B
wrong,JJ,NN,IN,Qualitative_Concept,B,NA,0,0,B,others,B
with,IN,JJ,PRP,Qualitative_Concept,B,NA,4,0,B,others,B
me,PRP,IN,CC,NA,B,NA,0,0,B,others,B
and,CC,PRP,VB,Idea_or_Concept,B,NA,4,0,B,others,B
i,VB,CC,RB,NA,B,NA,0,0,B,others,B
just,RB,VB,NN,NA,B,NA,0,0,B,others,B
need,NN,RB,TO,Qualitative_Concept,B,NA,0,0,B,others,B
to,TO,NN,VB,NA,B,NA,0,0,B,others,B
learn,VB,TO,TO,Mental_Process,B,NA,0,0,B,others,B
to,TO,VB,VB,NA,B,NA,0,0,B,others,i
cope,VB,TO,IN,Pharmacologic_Substance,B,NA,0,0,B,others,i
with,IN,VB,NN,Qualitative_Concept,B,NA,4,0,B,others,i
life,NN,IN,DT,Idea_or_Concept,B,NA,0,0,B,others,i
a,DT,NN,NN,NA,B,NA,0,0,B,others,B
bite,NN,DT,RBR,Injury_or_Poisoning,B,injury,0,0,B,others,B
better,RBR,NN,.,Qualitative_Concept,B,NA,0,0,B,others,B
?,.,RBR,end,NA,B,NA,0,0,B,others,B
i,NNS,start,VBP,NA,B,NA,0,0,B,others,B
have,VBP,NNS,DT,Qualitative_Concept,B,NA,0,0,B,others,B
these,DT,VBP,JJ,Intellectual_Product,B,NA,4,0,B,others,B
horrendous,JJ,DT,NN,NA,B,NA,0,0,B,others,B
low,NN,JJ,CC,Qualitative_Concept,B,NA,4,4,B,modifier,i
but,CC,NN,PRP,Mental_or_Behavioral_Dysfunction,B,symptom,4,0,B,others,B
it,PRP,CC,VB,NA,B,NA,0,0,B,others,B
be,VB,PRP,IN,NA,B,NA,0,0,B,others,B
like,IN,VB,NN,Mental_Process,B,NA,0,0,B,others,B
i,NN,IN,RB,NA,B,NA,0,0,B,others,B
just,RB,NN,VB,NA,B,NA,0,0,B,others,B
have,VB,RB,DT,Qualitative_Concept,B,NA,0,0,B,others,B
a,DT,VB,JJ,NA,B,NA,0,0,B,others,B
complete,JJ,DT,NN,Qualitative_Concept,B,NA,0,0,B,others,B
meltdown,NN,JJ,DT,NA,B,NA,0,0,B,symptom,i
every,DT,NN,RB,Intellectual_Product,B,NA,4,0,B,others,B
so,RB,DT,RB,NA,B,NA,0,0,B,others,i
often,RB,RB,CC,Temporal_Concept,B,NA,5,0,B,time,i
and,CC,RB,RB,Idea_or_Concept,B,NA,4,0,B,others,B
then,RB,CC,VB,Temporal_Concept,B,NA,4,0,B,others,B
i,VB,RB,VBP,NA,B,NA,0,0,B,others,B
seem,VBP,VB,TO,NA,B,NA,0,0,B,others,B
to,TO,VBP,VB,NA,B,NA,0,0,B,others,B
snap,VB,TO,IN,Biomedical_or_Dental_Material,B,device,0,0,B,others,B
out,IN,VB,IN,Spatial_Concept,B,NA,3,0,B,others,i
of,IN,IN,PRP,NA,B,NA,0,0,B,others,B
it,PRP,IN,IN,NA,B,NA,0,0,B,others,B
at,IN,PRP,DT,NA,B,NA,0,0,B,others,B
the,DT,IN,NN,NA,B,NA,4,0,B,others,B
drop,NN,DT,IN,Quantitative_Concept,B,NA,0,0,B,others,B
of,IN,NN,DT,NA,B,NA,0,0,B,others,B
a,DT,IN,NN,NA,B,NA,0,0,B,others,B
hat,NN,DT,.,Manufactured_Object,B,NA,4,0,B,others,B
.,.,NN,end,NA,B,NA,0,0,B,others,B
i,JJ,start,VBP,NA,B,NA,0,0,B,others,B
feel,VBP,JJ,IN,Mental_Process,B,NA,0,0,B,others,B
like,IN,VBP,DT,Mental_Process,B,NA,0,0,B,others,B
a,DT,IN,NN,NA,B,NA,0,0,B,others,B
bite,NN,DT,IN,Injury_or_Poisoning,B,injury,0,0,B,others,B
of,IN,NN,DT,NA,B,NA,0,0,B,others,i
a,DT,IN,NN,NA,B,NA,0,0,B,others,i
fraud,NN,DT,VBP,Social_Behavior,B,NA,0,0,B,others,i
say,VBP,NN,NN,NA,B,NA,0,0,B,others,B
i,NN,VBP,MD,NA,B,NA,0,0,B,others,B
might,MD,NN,VB,Temporal_Concept,B,NA,0,0,B,others,B
have,VB,MD,JJ,Qualitative_Concept,B,NA,0,0,B,others,B
bipolar,JJ,VB,IN,Spatial_Concept,B,NA,0,0,B,disease,B
because,IN,JJ,NN,NA,B,NA,0,0,B,others,B
everybody,NN,IN,NN,NA,B,NA,0,0,B,others,B
i,NN,NN,VBP,NA,B,NA,0,0,B,others,B
tell,VBP,NN,IN,NA,B,NA,0,0,B,others,B
in,IN,VBP,DT,NA,B,NA,0,0,B,others,B
the,DT,IN,NN,NA,B,NA,4,0,B,others,B
hope,NN,DT,IN,Mental_Process,B,NA,0,0,B,others,B
of,IN,NN,NN,NA,B,NA,0,0,B,others,B
support,NN,IN,RB,Health_Care_Activity,B,medication,0,0,B,others,B
just,RB,NN,NN,NA,B,NA,0,0,B,others,B
look,NN,RB,IN,Organism_Attribute,B,NA,0,0,B,others,B
at,IN,NN,PRP,NA,B,NA,0,0,B,others,B
me,PRP,IN,IN,NA,B,NA,0,0,B,others,B
like,IN,PRP,NN,Mental_Process,B,NA,0,0,B,others,B
i,NN,IN,VB,NA,B,NA,0,0,B,others,B
be,VB,NN,VBP,NA,B,NA,0,0,B,others,B
make,VBP,VB,PRP,Intellectual_Product,B,NA,0,0,B,others,B
it,PRP,VBP,RP,NA,B,NA,0,0,B,others,B
up,RP,PRP,.,NA,B,NA,0,0,B,others,B
.,.,RP,end,NA,B,NA,0,0,B,others,B
have,VB,start,NN,Qualitative_Concept,B,NA,0,0,B,others,B
anyone,NN,VB,RB,NA,B,NA,0,0,B,others,B
else,RB,NN,VBD,Finding,B,NA,0,0,B,others,B
felt,VBD,RB,IN,NA,B,NA,0,0,B,others,B
like,IN,VBD,DT,Mental_Process,B,NA,0,0,B,others,B
this,DT,IN,.,Eukaryote,B,NA,4,0,B,others,B
.,.,DT,end,NA,B,NA,0,0,B,others,B
my,PRP$,start,NNS,NA,B,NA,0,0,B,others,B
symptoms,NNS,PRP$,VB,Sign_or_Symptom,B,symptom,0,0,B,symptom,B
be,VB,NNS,VBN,NA,B,NA,0,0,B,others,B
mild,VBN,VB,JJ,Qualitative_Concept,B,NA,0,0,B,modifier,B
compare,JJ,VBN,TO,Activity,B,NA,0,0,B,others,B
to,TO,JJ,NNS,NA,B,NA,0,0,B,others,B
others,NNS,TO,RB,Finding,B,NA,4,0,B,others,B
maybe,RB,NNS,VB,Finding,B,NA,0,0,B,others,B
i,VB,RB,MD,NA,B,NA,0,0,B,others,B
should,MD,VB,RB,NA,B,NA,2,0,B,others,B
just,RB,MD,VB,NA,B,NA,0,0,B,others,B
get,VB,RB,DT,NA,B,NA,0,0,B,others,B
a,DT,VB,NN,NA,B,NA,0,0,B,others,B
grip,NN,DT,.,Organism_Function,B,symptom,0,0,B,others,B
?,.,NN,'',NA,B,NA,0,0,B,others,B
'','',.,NN,NA,B,NA,0,0,B,others,B
],NN,'',end,NA,B,NA,0,0,B,others,B
[,JJ,start,NN,NA,B,NA,0,0,B,others,B
hello,NN,JJ,MD,NA,B,NA,0,0,B,others,B
can,MD,NN,NN,Quantitative_Concept,B,NA,4,8,B,others,B
anyone,NN,MD,VB,NA,B,NA,0,0,B,others,B
help,VB,NN,PRP,Intellectual_Product,B,NA,0,0,B,others,B
me,PRP,VB,IN,NA,B,NA,0,0,B,others,B
with,IN,PRP,PRP$,Qualitative_Concept,B,NA,4,0,B,others,B
my,PRP$,IN,NN,NA,B,NA,0,0,B,others,B
condition,NN,PRP$,NN,Qualitative_Concept,B,NA,1,0,B,symptom,B
pleasei,NN,NN,VBP,NA,B,NA,0,0,B,others,B
have,VBP,NN,VBN,Intellectual_Product,B,NA,0,0,B,others,B
tremor,VBN,VBP,IN,Disease_or_Syndrome,I,disease,1,0,B,symptom,B
in,IN,VBN,DT,NA,B,NA,0,0,B,others,B
all,DT,IN,IN,Quantitative_Concept,B,NA,0,0,B,others,B
of,IN,DT,PRP$,NA,B,NA,0,0,B,others,B
my,PRP$,IN,NN,NA,B,NA,0,0,B,others,B
muscle,NN,PRP$,NN,Tissue,B,NA,2,0,B,organ,B
body,NN,NN,WRB,Anatomical_Structure,B,organ,2,0,B,organ,i
when,WRB,NN,JJ,Temporal_Concept,B,NA,0,0,B,others,B
i,JJ,WRB,VBP,NA,B,NA,0,0,B,others,B
move,VBP,JJ,PRP,Organism_Function,B,symptom,0,0,B,others,B
them,PRP,VBP,RBR,NA,B,NA,4,0,B,others,B
finger,RBR,PRP,NN,Body_Location_or_Region,B,organ,2,0,B,organ,B
hand,NN,RBR,NNS,Body_Part_Organ_or_Organ_Component,B,organ,2,0,B,organ,B
legs,NNS,NN,RB,Body_Location_or_Region,B,organ,2,0,B,organ,B
belly,RB,NNS,VBP,Body_Part_Organ_or_Organ_Component,B,organ,2,0,B,organ,B
tongue,VBP,RB,NN,Body_Part_Organ_or_Organ_Component,B,organ,2,0,B,organ,B
everything,NN,VBP,CC,NA,B,NA,0,0,B,others,B
and,CC,NN,PRP,Idea_or_Concept,B,NA,4,0,B,others,B
it,PRP,CC,VBP,NA,B,NA,0,0,B,others,B
get,VBP,PRP,JJR,NA,B,NA,0,0,B,others,B
worse,JJR,VBP,WRB,Finding,B,NA,4,2,B,modifier,B
when,WRB,JJR,NN,Temporal_Concept,B,NA,0,0,B,others,B
im,NN,WRB,NN,NA,B,NA,0,0,B,others,B
tire,NN,NN,WRB,Spatial_Concept,B,NA,1,0,B,symptom,B
when,WRB,NN,NN,Temporal_Concept,B,NA,0,0,B,others,B
rest,NN,WRB,RB,Daily_or_Recreational_Activity,B,normal_activity,0,0,B,modifier,B
not,RB,NN,VB,Functional_Concept,B,NA,4,5,B,others,B
move,VB,RB,NN,Organism_Function,B,symptom,0,0,B,others,B
nothing,NN,VB,NN,Finding,B,NA,4,5,B,others,B
happensihave,NN,NN,DT,NA,B,NA,0,0,B,others,B
this,DT,NN,NN,Eukaryote,B,NA,4,0,B,others,B
condition,NN,DT,IN,Qualitative_Concept,B,NA,1,0,B,symptom,B
since,IN,NN,NN,Temporal_Concept,B,NA,0,0,B,others,B
i,NN,IN,VB,NA,B,NA,0,0,B,others,B
be,VB,NN,CD,NA,B,NA,0,0,B,others,B
15yo,CD,VB,CC,NA,B,NA,0,0,B,modifier,B
or,CC,CD,NN,NA,B,NA,0,0,B,others,B
something,NN,CC,PRP,NA,B,NA,0,0,B,others,B
it,PRP,NN,VB,NA,B,NA,0,0,B,others,B
be,VB,PRP,RB,NA,B,NA,0,0,B,others,B
not,RB,VB,RB,Functional_Concept,B,NA,4,5,B,modifier,B
so,RB,RB,JJ,NA,B,NA,0,0,B,others,B
obvious,JJ,RB,RB,NA,B,NA,0,0,B,others,B
back,RB,JJ,RB,Body_Location_or_Region,B,organ,4,1,B,others,B
then,RB,RB,PRP,Temporal_Concept,B,NA,4,0,B,others,B
it,PRP,RB,VB,NA,B,NA,0,0,B,others,B
be,VB,PRP,JJ,NA,B,NA,0,0,B,others,B
clear,JJ,VB,RB,Qualitative_Concept,B,NA,0,0,B,others,B
only,RB,JJ,WRB,Quantitative_Concept,B,NA,0,0,B,others,B
when,WRB,RB,JJ,Temporal_Concept,B,NA,0,0,B,others,B
i,JJ,WRB,NN,NA,B,NA,0,0,B,others,B
lift,NN,JJ,VBD,Medical_Device,B,device,0,0,B,others,B
weight,VBD,NN,RB,Quantitative_Concept,B,NA,0,0,B,symptom,i
im,RB,VBD,CD,NA,B,NA,0,0,B,others,B
25yo,CD,RB,NNS,NA,B,NA,0,0,B,modifier,B
nowi,NNS,CD,VBP,NA,B,NA,0,0,B,others,B
use,VBP,NNS,NN,Intellectual_Product,B,NA,0,0,B,others,B
propranolol,NN,VBP,PRP,Pharmacologic_Substance,B,NA,6,1,B,medication,B
it,PRP,NN,VBZ,NA,B,NA,0,0,B,others,B
help,VBZ,PRP,RB,Intellectual_Product,B,NA,0,0,B,others,B
only,RB,VBZ,DT,Quantitative_Concept,B,NA,0,0,B,others,B
a,DT,RB,JJ,Intellectual_Product,I,NA,0,0,B,others,B
little,JJ,DT,NN,Intellectual_Product,I,NA,4,4,B,modifier,i
bite,NN,JJ,NN,Injury_or_Poisoning,B,injury,0,0,B,others,i
i,NN,NN,VBP,NA,B,NA,0,0,B,others,B
go,VBP,NN,TO,NA,B,NA,0,0,B,others,B
to,TO,VBP,RB,NA,B,NA,0,0,B,others,B
first,RB,TO,VB,Quantitative_Concept,B,NA,0,0,B,others,B
neurologist,VB,RB,PRP,Professional_or_Occupational_Group,B,NA,0,0,B,medication,B
he,PRP,VB,VB,NA,B,NA,0,0,B,others,B
say,VB,PRP,JJ,NA,B,NA,0,0,B,others,B
i,JJ,VB,VB,NA,B,NA,0,0,B,others,B
be,VB,JJ,RB,NA,B,NA,0,0,B,others,B
just,RB,VB,JJ,NA,B,NA,0,0,B,others,B
nervous,JJ,RB,NNS,Sign_or_Symptom,B,symptom,1,0,B,symptom,B
i,NNS,JJ,VBP,NA,B,NA,0,0,B,others,B
tell,VBP,NNS,PRP,NA,B,NA,0,0,B,others,B
him,PRP,VBP,RB,NA,B,NA,0,0,B,others,B
i,RB,PRP,VB,NA,B,NA,0,0,B,others,B
be,VB,RB,JJ,NA,B,NA,0,0,B,others,B
nothe,JJ,VB,NN,NA,B,NA,0,0,B,others,B
insist,NN,JJ,VB,NA,B,NA,0,0,B,others,B
give,VB,NN,PRP,Functional_Concept,B,NA,0,0,B,others,B
me,PRP,VB,JJ,NA,B,NA,0,0,B,others,B
stress,JJ,PRP,NN,Finding,B,NA,4,3,B,modifier,B
medicine,NN,JJ,CC,Biomedical_Occupation_or_Discipline,B,NA,6,1,B,medication,i
and,CC,NN,NNS,Idea_or_Concept,B,NA,4,0,B,others,B
vitamins,NNS,CC,WDT,Vitamin,B,NA,6,1,B,medication,B
which,WDT,NNS,VBP,NA,B,NA,0,0,B,others,B
didnt,VBP,WDT,NN,NA,B,NA,0,0,B,modifier,B
work,NN,VBP,IN,Occupational_Activity,B,NA,0,0,B,others,B
at,IN,NN,DT,NA,B,NA,0,0,B,others,B
all,DT,IN,JJ,Quantitative_Concept,B,NA,0,0,B,others,B
second,JJ,DT,NN,Quantitative_Concept,B,NA,4,0,B,others,B
doctor,NN,JJ,VB,Professional_or_Occupational_Group,B,NA,0,0,B,medication,i
tell,VB,NN,PRP,NA,B,NA,0,0,B,others,B
me,PRP,VB,TO,NA,B,NA,0,0,B,others,B
to,TO,PRP,VB,NA,B,NA,0,0,B,others,B
do,VB,TO,VB,NA,B,NA,0,0,B,others,B
mri,VB,VB,JJ,Diagnostic_Procedure,B,NA,0,0,B,medication,B
scan,JJ,VB,CC,Diagnostic_Procedure,I,NA,6,3,B,medication,i
and,CC,JJ,JJ,Idea_or_Concept,B,NA,4,0,B,others,B
blood,JJ,CC,NN,Laboratory_Procedure,B,NA,6,3,B,medication,B
test,NN,JJ,NN,Laboratory_Procedure,I,NA,6,3,I,medication,i
everything,NN,NN,VB,NA,B,NA,0,0,B,others,B
be,VB,NN,JJ,NA,B,NA,0,0,B,others,B
fine,JJ,VB,PRP,Qualitative_Concept,B,NA,4,9,B,modifier,B
he,PRP,JJ,VB,NA,B,NA,0,0,B,others,B
tell,VB,PRP,PRP,NA,B,NA,0,0,B,others,B
me,PRP,VB,IN,NA,B,NA,0,0,B,others,B
that,IN,PRP,PRP,NA,B,NA,4,0,B,others,B
it,PRP,IN,VB,NA,B,NA,0,0,B,others,B
be,VB,PRP,JJ,NA,B,NA,0,0,B,others,B
essential,JJ,VB,NN,Disease_or_Syndrome,B,disease,0,0,B,others,B
tremor,NN,JJ,CC,Disease_or_Syndrome,I,disease,1,0,B,disease,i
and,CC,NN,VB,Idea_or_Concept,B,NA,4,0,B,others,B
give,VB,CC,PRP,Functional_Concept,B,NA,0,0,B,others,B
me,PRP,VB,NNS,NA,B,NA,0,0,B,others,B
parkinsons,NNS,PRP,VBP,Disease_or_Syndrome,B,disease,0,0,B,disease,B
disease,VBP,NNS,JJ,Disease_or_Syndrome,I,disease,0,0,B,disease,i
medicine,JJ,VBP,RB,Biomedical_Occupation_or_Discipline,B,NA,6,1,B,medication,i
instead,RB,JJ,IN,NA,B,NA,2,0,B,others,B
of,IN,RB,NN,NA,B,NA,0,0,B,others,i
propranolol,NN,IN,WDT,Pharmacologic_Substance,B,NA,6,1,B,medication,B
which,WDT,NN,VBP,NA,B,NA,0,0,B,others,B
make,VBP,WDT,PRP,Intellectual_Product,B,NA,0,0,B,others,B
it,PRP,VBP,RB,NA,B,NA,0,0,B,others,B
even,RB,PRP,RBR,NA,B,NA,0,0,B,others,B
worst,RBR,RB,RB,Qualitative_Concept,B,NA,4,2,B,modifier,B
then,RB,RBR,IN,Temporal_Concept,B,NA,4,0,B,others,B
if,IN,RB,NNS,NA,B,NA,0,0,B,others,B
im,NNS,IN,RB,NA,B,NA,0,0,B,others,B
not,RB,NNS,VB,Functional_Concept,B,NA,4,5,B,modifier,B
use,VB,RB,NN,Intellectual_Product,B,NA,0,0,B,others,i
propranolol,NN,VB,IN,Pharmacologic_Substance,B,NA,6,1,B,medication,i
at,IN,NN,DT,NA,B,NA,0,0,B,others,B
all,DT,IN,VBP,Quantitative_Concept,B,NA,0,0,B,others,B
im,VBP,DT,RB,NA,B,NA,0,0,B,others,B
really,RB,VBP,VB,NA,B,NA,0,0,B,others,B
confuse,VB,RB,WP,Mental_or_Behavioral_Dysfunction,B,symptom,0,0,B,others,B
what,WP,VB,VB,NA,B,NA,0,0,B,others,B
be,VB,WP,DT,NA,B,NA,0,0,B,others,B
the,DT,VB,NN,NA,B,NA,4,0,B,others,B
name,NN,DT,IN,Intellectual_Product,B,NA,0,0,B,others,B
for,IN,NN,PRP$,Qualitative_Concept,B,NA,0,0,B,others,B
my,PRP$,IN,NN,NA,B,NA,0,0,B,others,B
condition,NN,PRP$,.,Qualitative_Concept,B,NA,1,0,B,symptom,B
?,.,NN,end,NA,B,NA,0,0,B,others,B
im,NN,start,RB,NA,B,NA,0,0,B,others,B
not,RB,NN,VB,Functional_Concept,B,NA,4,5,B,modifier,B
convince,VB,RB,PRP,NA,B,NA,0,0,B,others,B
it,PRP,VB,VB,NA,B,NA,0,0,B,others,B
be,VB,PRP,JJ,NA,B,NA,0,0,B,others,B
essential,JJ,VB,JJ,Disease_or_Syndrome,B,disease,0,0,B,disease,B
tremorcan,JJ,JJ,DT,NA,B,NA,1,0,B,disease,i
any,DT,JJ,CD,Qualitative_Concept,B,NA,0,0,B,others,B
one,CD,DT,NN,Quantitative_Concept,B,NA,2,0,B,others,B
guide,NN,CD,PRP,Manufactured_Object,B,NA,0,0,B,others,B
me,PRP,NN,.,NA,B,NA,0,0,B,others,B
?,.,PRP,.,NA,B,NA,0,0,B,others,B
?,.,.,.,NA,B,NA,0,0,B,others,B
?,.,.,'',NA,B,NA,0,0,B,others,B
','',.,NN,NA,B,NA,0,0,B,others,B
],NN,'',end,NA,B,NA,0,0,B,others,B
[,JJ,start,NN,NA,B,NA,0,0,B,others,B
hello,NN,JJ,NN,NA,B,NA,0,0,B,others,B
everyone,NN,NN,.,NA,B,NA,4,0,B,others,B
!,.,NN,end,NA,B,NA,0,0,B,others,B
i,NN,start,VB,NA,B,NA,0,0,B,others,B
be,VB,NN,CD,NA,B,NA,0,0,B,others,B
15,CD,VB,NNS,NA,B,NA,0,0,B,modifier,B
years,NNS,CD,JJ,Temporal_Concept,B,NA,5,0,B,time,i
old,JJ,NNS,JJ,Temporal_Concept,B,NA,4,14,B,modifier,i
male,JJ,JJ,NN,Organism_Attribute,B,NA,4,12,B,modifier,B
hypochondriac,NN,JJ,CC,NA,B,NA,0,0,B,others,B
and,CC,NN,RB,Idea_or_Concept,B,NA,4,0,B,others,B
recently,RB,CC,NNS,Temporal_Concept,B,NA,5,0,B,others,B
i,NNS,RB,VBP,NA,B,NA,0,0,B,others,B
have,VBP,NNS,VB,Qualitative_Concept,B,NA,0,0,B,others,B
be,VB,VBP,VBN,NA,B,NA,0,0,B,others,B
feel,VBN,VB,JJ,Mental_Process,B,NA,0,0,B,others,B
terrible,JJ,VBN,.,Qualitative_Concept,B,NA,4,2,B,modifier,i
.,.,JJ,end,NA,B,NA,0,0,B,others,B
i,JJ,start,RB,NA,B,NA,0,0,B,others,B
notice,RB,JJ,VBP,NA,B,NA,0,0,B,others,B
swell,VBP,RB,JJ,Pathologic_Function,B,NA,1,0,B,symptom,B
lymph,JJ,VBP,NN,Body_Substance,B,organ,0,0,B,organ,i
nod,NN,JJ,IN,NA,B,NA,0,0,B,others,i
in,IN,NN,PRP$,NA,B,NA,0,0,B,others,B
my,PRP$,IN,NN,NA,B,NA,0,0,B,others,B
groin,NN,PRP$,NN,Body_Location_or_Region,B,organ,2,0,B,organ,B
neck,NN,NN,WDT,Body_Location_or_Region,B,organ,2,0,B,organ,i
which,WDT,NN,VBD,NA,B,NA,0,0,B,others,B
kinda,VBD,WDT,JJ,NA,B,NA,0,0,B,others,B
disappear,JJ,VBD,IN,NA,B,NA,0,0,B,others,B
under,IN,JJ,NN,Spatial_Concept,B,NA,0,0,B,others,B
jaw,NN,IN,CC,Body_Part_Organ_or_Organ_Component,B,organ,2,0,B,organ,i
and,CC,NN,IN,Idea_or_Concept,B,NA,4,0,B,others,B
under,IN,CC,PRP$,Spatial_Concept,B,NA,0,0,B,others,B
my,PRP$,IN,NN,NA,B,NA,0,0,B,others,i
armpit,NN,PRP$,.,Body_Location_or_Region,B,organ,0,0,B,organ,i
.,.,NN,end,NA,B,NA,0,0,B,others,B
i,NNS,start,VBP,NA,B,NA,0,0,B,others,B
have,VBP,NNS,VB,Qualitative_Concept,B,NA,0,0,B,others,B
be,VB,VBP,VBP,NA,B,NA,0,0,B,others,B
have,VBP,VB,PRP,Qualitative_Concept,B,NA,0,0,B,others,B
them,PRP,VBP,IN,NA,B,NA,4,0,B,others,B
for,IN,PRP,RB,Qualitative_Concept,B,NA,0,0,B,others,B
quite,RB,IN,DT,Intellectual_Product,B,NA,0,0,B,others,B
a,DT,RB,NN,Intellectual_Product,I,NA,0,0,B,others,i
lot,NN,DT,IN,Intellectual_Product,I,NA,0,0,B,others,i
of,IN,NN,NN,Qualitative_Concept,I,NA,0,0,B,others,i
time,NN,IN,NN,Temporal_Concept,B,NA,5,0,B,time,i
something,NN,NN,IN,NA,B,NA,0,0,B,others,B
like,IN,NN,CD,Mental_Process,B,NA,0,0,B,others,B
3,CD,IN,NNS,NA,B,NA,0,0,B,modifier,B
years,NNS,CD,CC,Temporal_Concept,B,NA,5,0,B,time,i
