word,pos,ontotag,onto-BIO,onto-predict,dict-tag,dict-score,dict-BIO
move,VB,Organism_Function,B,symptom,0,0,B
),),NA,B,NA,0,0,B
nothing,NN,Finding,B,NA,4,5,B
happen,NN,Activity,B,NA,0,0,B
",",",",NA,B,NA,0,0,B
ihave,VBP,NA,B,NA,0,0,B
this,DT,Eukaryote,B,NA,0,0,B
condition,NN,Qualitative_Concept,B,NA,1,0,B
since,IN,Temporal_Concept,B,NA,0,0,B
i,NN,Intellectual_Product,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
15yo,CD,NA,B,NA,0,0,B
or,CC,NA,B,NA,0,0,B
something,NN,NA,B,NA,0,0,B
",",",",NA,B,NA,0,0,B
it,PRP,NA,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
not,RB,Functional_Concept,B,NA,4,5,B
so,RB,NA,B,NA,0,0,B
obvious,JJ,NA,B,NA,0,0,B
back,RB,Body_Location_or_Region,B,organ,2,0,B
then,RB,Temporal_Concept,B,NA,0,0,B
it,PRP,NA,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
clear,JJ,Qualitative_Concept,B,NA,0,0,B
only,RB,Quantitative_Concept,B,NA,0,0,B
when,WRB,Temporal_Concept,B,NA,0,0,B
i,JJ,Intellectual_Product,B,NA,0,0,B
lift,NN,Medical_Device,B,device,0,0,B
weight,NN,Quantitative_Concept,B,NA,0,0,B
",",",",NA,B,NA,0,0,B
(,(,NA,B,NA,0,0,B
im,JJ,NA,B,NA,0,0,B
25yo,CD,NA,B,NA,0,0,B
now,RB,Temporal_Concept,B,NA,0,0,B
),),NA,B,NA,0,0,B
",",",",NA,B,NA,0,0,B
i,JJ,Intellectual_Product,B,NA,0,0,B
use,VBP,Intellectual_Product,B,NA,0,0,B
propranolol,NN,Pharmacologic_Substance,B,NA,0,0,B
it,PRP,NA,B,NA,0,0,B
help,VBZ,Intellectual_Product,B,NA,0,0,B
only,RB,Quantitative_Concept,B,NA,0,0,B
a,DT,Intellectual_Product,I,NA,0,0,B
little,JJ,Intellectual_Product,I,NA,4,4,B
bite,NN,Injury_or_Poisoning,B,injury,0,0,B
",",",",NA,B,NA,0,0,B
i,NN,Intellectual_Product,B,NA,0,0,B
go,VBP,NA,B,NA,0,0,B
to,TO,NA,B,NA,0,0,B
first,RB,Quantitative_Concept,B,NA,0,0,B
neurologist,VB,Professional_or_Occupational_Group,B,NA,0,0,B
he,PRP,NA,B,NA,0,0,B
say,VB,NA,B,NA,0,0,B
i,JJ,Intellectual_Product,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
just,RB,NA,B,NA,0,0,B
nervous,JJ,Sign_or_Symptom,B,symptom,0,0,B
(,(,NA,B,NA,0,0,B
i,JJ,Intellectual_Product,B,NA,0,0,B
tell,VBP,NA,B,NA,0,0,B
him,PRP,NA,B,NA,0,0,B
i,RB,Intellectual_Product,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
not,RB,Functional_Concept,B,NA,4,5,B
",",",",NA,B,NA,0,0,B
he,PRP,NA,B,NA,0,0,B
insist,VBP,NA,B,NA,0,0,B
),),NA,B,NA,0,0,B
",",",",NA,B,NA,0,0,B
give,VB,Functional_Concept,B,NA,0,0,B
me,PRP,NA,B,NA,0,0,B
stress,JJ,Finding,B,NA,4,3,B
medicine,NN,Biomedical_Occupation_or_Discipline,B,NA,3,0,I
and,CC,Idea_or_Concept,B,NA,2,0,B
vitamins,NNS,Vitamin,B,NA,0,0,B
which,WDT,NA,B,NA,0,0,B
didnt,VBP,NA,B,NA,0,0,B
work,NN,Occupational_Activity,B,NA,0,0,B
at,IN,NA,B,NA,0,0,B
all,DT,Quantitative_Concept,B,NA,0,0,B
",",",",NA,B,NA,0,0,B
second,JJ,Quantitative_Concept,B,NA,5,0,B
doctor,NN,Professional_or_Occupational_Group,B,NA,0,0,B
tell,VB,NA,B,NA,0,0,B
me,PRP,NA,B,NA,0,0,B
to,TO,NA,B,NA,0,0,B
do,VB,NA,B,NA,0,0,B
MRI,NNP,Diagnostic_Procedure,B,NA,0,0,B
scan,VB,Diagnostic_Procedure,I,NA,4,8,B
and,CC,Idea_or_Concept,B,NA,2,0,B
blood,VB,Laboratory_Procedure,B,NA,2,0,B
test,NN,Laboratory_Procedure,I,NA,2,0,B
(,(,NA,B,NA,0,0,B
everything,NN,NA,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
fine,JJ,Qualitative_Concept,B,NA,4,9,B
),),NA,B,NA,0,0,B
he,PRP,NA,B,NA,0,0,B
tell,VB,NA,B,NA,0,0,B
me,PRP,NA,B,NA,0,0,B
that,IN,NA,B,NA,0,0,B
it,PRP,NA,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
essential,JJ,Disease_or_Syndrome,B,disease,0,0,B
tremor,NN,Disease_or_Syndrome,I,disease,1,0,B
and,CC,Idea_or_Concept,B,NA,2,0,B
give,VB,Functional_Concept,B,NA,0,0,B
me,PRP,NA,B,NA,0,0,B
parkinsons,NNS,Disease_or_Syndrome,B,disease,3,0,B
disease,VBP,Disease_or_Syndrome,I,disease,3,0,I
medicine,JJ,Biomedical_Occupation_or_Discipline,B,NA,3,0,I
instead,RB,NA,B,NA,2,0,B
of,IN,NA,B,NA,0,0,B
propranolol,NN,Pharmacologic_Substance,B,NA,0,0,B
which,WDT,NA,B,NA,0,0,B
make,VBP,Intellectual_Product,B,NA,0,0,B
it,PRP,NA,B,NA,0,0,B
even,RB,NA,B,NA,0,0,B
worst,RBR,Qualitative_Concept,B,NA,0,0,B
then,RB,Temporal_Concept,B,NA,0,0,B
if,IN,NA,B,NA,0,0,B
im,NNS,NA,B,NA,0,0,B
not,RB,Functional_Concept,B,NA,4,5,B
use,VB,Intellectual_Product,B,NA,0,0,B
propranolol,NN,Pharmacologic_Substance,B,NA,0,0,B
at,IN,NA,B,NA,0,0,B
all,DT,Quantitative_Concept,B,NA,0,0,B
",",",",NA,B,NA,0,0,B
im,VBP,NA,B,NA,0,0,B
really,RB,NA,B,NA,0,0,B
confuse,VB,Mental_or_Behavioral_Dysfunction,B,symptom,0,0,B
what,WP,NA,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
the,DT,NA,B,NA,0,0,B
name,NN,Intellectual_Product,B,NA,0,0,B
for,IN,Qualitative_Concept,B,NA,0,0,B
my,PRP$,NA,B,NA,0,0,B
condition,NN,Qualitative_Concept,B,NA,1,0,B
?,.,NA,B,NA,0,0,B
im,NN,NA,B,NA,0,0,B
not,RB,Functional_Concept,B,NA,4,5,B
convince,VB,NA,B,NA,0,0,B
it,PRP,NA,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
essential,JJ,Disease_or_Syndrome,B,disease,0,0,B
tremor,NN,Disease_or_Syndrome,I,disease,1,0,B
",",",",NA,B,NA,0,0,B
can,MD,Quantitative_Concept,B,NA,0,0,B
any,DT,Qualitative_Concept,B,NA,0,0,B
one,CD,Quantitative_Concept,B,NA,2,0,B
guide,NN,Manufactured_Object,B,NA,0,0,B
me,PRP,NA,B,NA,0,0,B
?,.,NA,B,NA,0,0,B
?,.,NA,B,NA,0,0,B
?,.,NA,B,NA,0,0,B
','',NA,B,NA,0,0,B
],NN,NA,B,NA,0,0,B
[,NN,NA,B,NA,0,0,B
u,NN,NA,B,NA,0,0,B
'','',NA,B,NA,0,0,B
I,PRP,NA,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
a,DT,Qualitative_Concept,B,NA,0,0,B
24,CD,NA,B,NA,0,0,B
years,NNS,Temporal_Concept,B,NA,5,0,B
old,JJ,Temporal_Concept,B,NA,0,0,B
male,NN,Organism_Attribute,B,NA,3,0,B
.,.,NA,B,NA,0,0,B
I,PRP,NA,B,NA,0,0,B
have,VBP,Qualitative_Concept,B,NA,0,0,B
an,DT,NA,B,NA,0,0,B
unprotected,JJ,Finding,B,NA,0,0,B
sexual,JJ,Finding,I,NA,0,0,B
intercourse,NN,Finding,I,NA,0,0,B
with,IN,Qualitative_Concept,B,NA,0,0,B
a,DT,Qualitative_Concept,B,NA,0,0,B
female,NN,Organism_Attribute,B,NA,0,0,B
in,IN,Sign_or_Symptom,I,symptom,0,0,B
Chile,NNP,Geographic_Area,B,NA,0,0,B
two,CD,Quantitative_Concept,B,NA,0,0,B
years,NNS,Temporal_Concept,B,NA,5,0,B
ago,RB,NA,B,NA,4,10,B
.,.,NA,B,NA,0,0,B
Three,CD,Quantitative_Concept,B,NA,0,0,B
weeks,NNS,Temporal_Concept,B,NA,5,0,B
later,RB,Temporal_Concept,B,NA,4,10,B
:,:,NA,B,NA,0,0,B
fever,NN,Finding,B,NA,1,0,B
for,IN,Finding,I,NA,4,8,I
a,DT,Qualitative_Concept,B,NA,0,0,B
day,NN,Temporal_Concept,B,NA,5,0,B
or,CC,NA,B,NA,0,0,B
two,CD,Quantitative_Concept,B,NA,0,0,B
follow,NN,Temporal_Concept,B,NA,0,0,B
by,IN,Temporal_Concept,I,NA,0,0,B
an,DT,NA,B,NA,0,0,B
oral,JJ,Disease_or_Syndrome,B,disease,0,0,B
thrush,NN,Disease_or_Syndrome,I,disease,0,0,B
.,.,NA,B,NA,0,0,B
6,CD,NA,B,NA,0,0,B
weeks,NNS,Temporal_Concept,B,NA,5,0,B
later,RB,Temporal_Concept,B,NA,4,10,B
:,:,NA,B,NA,0,0,B
explosive,JJ,Disease_or_Syndrome,B,disease,0,0,B
diarrhea,NN,Disease_or_Syndrome,I,disease,1,0,B
",",",",NA,B,NA,0,0,B
fever,NN,Finding,B,NA,1,0,B
for,IN,Finding,I,NA,4,8,I
about,IN,Qualitative_Concept,B,NA,0,0,B
5,CD,Temporal_Concept,B,NA,0,0,B
days,NNS,Temporal_Concept,I,NA,5,0,B
.,.,NA,B,NA,0,0,B
Maybe,RB,Finding,B,NA,0,0,B
i,NN,NA,B,NA,0,0,B
should,MD,NA,B,NA,2,0,B
mention,VB,NA,B,NA,0,0,B
that,IN,NA,B,NA,0,0,B
I,PRP,NA,B,NA,0,0,B
have,VBP,Qualitative_Concept,B,NA,0,0,B
an,DT,NA,B,NA,0,0,B
extreme,JJ,Qualitative_Concept,B,NA,0,0,B
food,NN,Food,B,food,0,0,B
poison,NN,Hazardous_or_Poisonous_Substance,B,NA,0,0,B
two,CD,Quantitative_Concept,B,NA,0,0,B
weeks,NNS,Temporal_Concept,B,NA,5,0,B
before,IN,Temporal_Concept,B,NA,0,0,B
my,PRP$,NA,B,NA,0,0,B
exposure,NN,Clinical_Attribute,B,NA,0,0,B
during,IN,Temporal_Concept,B,NA,0,0,B
a,DT,Qualitative_Concept,B,NA,0,0,B
trip,NN,Phenomenon_or_Process,B,NA,4,7,B
in,IN,Sign_or_Symptom,I,symptom,0,0,B
Bolivia.Few,NNP,NA,B,NA,0,0,B
months,NNS,Temporal_Concept,B,NA,5,0,B
after,IN,Temporal_Concept,B,NA,0,0,B
",",",",NA,B,NA,0,0,B
I,PRP,NA,B,NA,0,0,B
have,VBP,Qualitative_Concept,B,NA,0,0,B
a,DT,Qualitative_Concept,B,NA,0,0,B
recur,NN,Phenomenon_or_Process,B,NA,1,0,B
pain,NN,Sign_or_Symptom,B,symptom,1,0,I
in,IN,Sign_or_Symptom,I,symptom,0,0,B
the,DT,NA,B,NA,0,0,B
leave,JJ,NA,B,NA,0,0,B
knee,NN,Body_Part_Organ_or_Organ_Component,B,organ,2,0,B
(,(,NA,B,NA,0,0,B
still,RB,NA,B,NA,0,0,B
painful,JJ,Sign_or_Symptom,B,symptom,0,0,B
sometimes,RB,Temporal_Concept,B,NA,0,0,B
),),NA,B,NA,0,0,B
.,.,NA,B,NA,0,0,B
A,DT,NA,B,NA,0,0,B
year,NN,Temporal_Concept,B,NA,5,0,B
after,IN,Temporal_Concept,B,NA,0,0,B
the,DT,NA,B,NA,0,0,B
exposure,NN,Clinical_Attribute,B,NA,0,0,B
",",",",NA,B,NA,0,0,B
I,PRP,NA,B,NA,0,0,B
have,VBP,Qualitative_Concept,B,NA,0,0,B
something,NN,NA,B,NA,0,0,B
like,IN,Mental_Process,B,NA,0,0,B
kidney,NN,Disease_or_Syndrome,B,disease,3,0,B
stone,NN,Disease_or_Syndrome,I,disease,3,0,I
(,(,NA,B,NA,0,0,B
pain,NN,Sign_or_Symptom,B,symptom,1,0,I
",",",",NA,B,NA,0,0,B
etc,NN,NA,B,NA,0,0,B
),),NA,B,NA,0,0,B
but,CC,Mental_or_Behavioral_Dysfunction,B,symptom,0,0,B
echography,$,Diagnostic_Procedure,B,NA,0,0,B
do,VBP,Finding,B,NA,0,0,B
not,RB,Finding,I,NA,4,5,B
show,VB,Animal,B,NA,0,0,B
anything,NN,NA,B,NA,0,0,B
.,.,NA,B,NA,0,0,B
Bloodwork,NNP,NA,B,NA,0,0,B
show,NN,Animal,B,NA,0,0,B
elevate,NN,Qualitative_Concept,B,NA,0,0,B
TSH,NNP,Hormone,B,NA,0,0,B
though,IN,NA,B,NA,0,0,B
(,(,NA,B,NA,0,0,B
hypothyroidism,NN,Disease_or_Syndrome,B,disease,3,0,B
",",",",NA,B,NA,0,0,B
which,WDT,NA,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
uncommon,JJ,Qualitative_Concept,B,NA,4,8,B
for,IN,Finding,I,NA,4,8,I
someone,NN,NA,B,NA,0,0,B
my,PRP$,NA,B,NA,0,0,B
age,NN,Organism_Attribute,B,NA,0,0,B
),),NA,B,NA,0,0,B
.Right,NN,NA,B,NA,0,0,B
now,RB,Temporal_Concept,B,NA,0,0,B
",",",",NA,B,NA,0,0,B
my,PRP$,NA,B,NA,0,0,B
symptoms,NNS,Sign_or_Symptom,B,symptom,0,0,B
be,VB,NA,B,NA,0,0,B
:,:,NA,B,NA,0,0,B
a,DT,Qualitative_Concept,B,NA,0,0,B
lot,NN,Qualitative_Concept,I,NA,0,0,B
of,IN,NA,B,NA,0,0,B
blood,NN,Sign_or_Symptom,B,symptom,1,0,B
in,IN,Sign_or_Symptom,I,symptom,0,0,B
stool,NN,Sign_or_Symptom,I,symptom,1,0,I
(,(,NA,B,NA,0,0,B
for,IN,Finding,I,NA,4,8,I
a,DT,Qualitative_Concept,B,NA,0,0,B
few,JJ,Quantitative_Concept,B,NA,4,8,B
months,NNS,Temporal_Concept,B,NA,5,0,B
now,RB,Temporal_Concept,B,NA,0,0,B
),),NA,B,NA,0,0,B
",",",",NA,B,NA,0,0,B
constipation,NN,Sign_or_Symptom,B,symptom,1,0,B
",",",",NA,B,NA,0,0,B
dry,JJ,Sign_or_Symptom,B,symptom,1,0,I
skin,NN,Sign_or_Symptom,I,symptom,2,0,B
",",",",NA,B,NA,0,0,B
extreme,JJ,Qualitative_Concept,B,NA,0,0,B
fatigue,NN,Sign_or_Symptom,I,symptom,3,0,B
",",",",NA,B,NA,0,0,B
alcohol,NN,Finding,B,NA,0,0,B
intolerance,NN,Finding,I,NA,0,0,B
",",",",NA,B,NA,0,0,B
extreme,JJ,Qualitative_Concept,B,NA,0,0,B
dandruff,NN,Disease_or_Syndrome,B,disease,3,0,B
",",",",NA,B,NA,0,0,B
white,JJ,Finding,B,NA,0,0,B
tongue,NN,Finding,I,NA,2,0,B
",",",",NA,B,NA,0,0,B
recur,VBP,Phenomenon_or_Process,B,NA,1,0,B
hairline,JJ,NA,B,NA,0,0,B
spot,NN,Fish,B,NA,0,0,B
in,IN,Sign_or_Symptom,I,symptom,0,0,B
my,PRP$,NA,B,NA,0,0,B
neck,NN,Body_Location_or_Region,B,organ,2,0,B
",",",",NA,B,NA,0,0,B
chest,NN,Sign_or_Symptom,B,symptom,1,0,B
pain,NN,Sign_or_Symptom,B,symptom,1,0,I
(,(,NA,B,NA,0,0,B
I,PRP,NA,B,NA,0,0,B
think,VBP,Mental_Process,B,NA,4,8,B
there,RB,NA,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
more,JJR,Functional_Concept,B,NA,0,0,B
),),NA,B,NA,0,0,B
.I,NN,NA,B,NA,0,0,B
have,VBP,Qualitative_Concept,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
of,IN,NA,B,NA,0,0,B
course,NN,Temporal_Concept,B,NA,0,0,B
test,NN,Finding,B,NA,2,0,B
for,IN,Finding,I,NA,4,8,I
HIV,NNP,Finding,I,NA,0,0,B
multiple,NN,Quantitative_Concept,B,NA,4,7,B
time,NN,Temporal_Concept,B,NA,5,0,B
up,IN,Spatial_Concept,B,NA,0,0,B
to,TO,Spatial_Concept,I,NA,0,0,B
18,CD,NA,B,NA,0,0,B
months,NNS,Temporal_Concept,B,NA,5,0,B
post,VBN,Temporal_Concept,B,NA,0,0,B
exposure.I,RB,NA,B,NA,0,0,B
do,VBP,Finding,B,NA,0,0,B
not,RB,Finding,I,NA,4,5,B
know,VB,Qualitative_Concept,I,NA,0,0,B
what,WP,NA,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
wrong,JJ,Qualitative_Concept,B,NA,0,0,B
with,IN,Qualitative_Concept,B,NA,0,0,B
my,PRP$,NA,B,NA,0,0,B
body.what,NNS,NA,B,NA,0,0,B
do,VBP,Finding,B,NA,0,0,B
you,PRP,NA,B,NA,0,0,B
guy,VB,NA,B,NA,0,0,B
think,VB,Mental_Process,B,NA,4,8,B
?,.,NA,B,NA,0,0,B
lyme,NN,NA,B,NA,0,0,B
?,.,NA,B,NA,0,0,B
any,DT,Qualitative_Concept,B,NA,0,0,B
retroviruses,NNS,Virus,B,NA,0,0,B
?,.,NA,B,NA,0,0,B
'','',NA,B,NA,0,0,B
],NN,NA,B,NA,0,0,B
[,JJ,NA,B,NA,0,0,B
u'Hello,NN,NA,B,NA,0,0,B
there,EX,NA,B,NA,0,0,B
for,IN,Qualitative_Concept,B,NA,0,0,B
the,DT,NA,B,NA,0,0,B
last,JJ,Qualitative_Concept,B,NA,4,10,B
few,JJ,Quantitative_Concept,B,NA,4,8,B
months,NNS,Temporal_Concept,B,NA,5,0,B
my,PRP$,NA,B,NA,0,0,B
son,NN,Family_Group,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
act,JJ,Idea_or_Concept,B,NA,0,0,B
very,RB,Qualitative_Concept,B,NA,4,0,B
strange,JJ,NA,B,NA,4,8,B
.,.,NA,B,NA,0,0,B
He,PRP,NA,B,NA,0,0,B
forget,VB,Mental_or_Behavioral_Dysfunction,B,symptom,0,0,B
many,JJ,Quantitative_Concept,B,NA,0,0,B
important,JJ,Qualitative_Concept,B,NA,0,0,B
things,NNS,Entity,B,NA,4,8,B
like,IN,Mental_Process,B,NA,0,0,B
phone,NN,Conceptual_Entity,B,NA,0,0,B
number,NN,Conceptual_Entity,I,NA,0,0,B
which,WDT,NA,B,NA,0,0,B
he,PRP,NA,B,NA,0,0,B
use,VBZ,Functional_Concept,B,NA,0,0,B
to,TO,NA,B,NA,0,0,B
remember.New,VB,NA,B,NA,1,0,B
surround,NN,Spatial_Concept,B,NA,0,0,B
and,CC,Idea_or_Concept,B,NA,2,0,B
new,JJ,Qualitative_Concept,B,NA,0,0,B
people,NNS,Population_Group,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
confuse,RB,Mental_or_Behavioral_Dysfunction,B,symptom,0,0,B
him,PRP,NA,B,NA,0,0,B
as,IN,NA,B,NA,0,0,B
we,PRP,NA,B,NA,0,0,B
have,VBP,Qualitative_Concept,B,NA,0,0,B
move,VBN,Organism_Function,B,symptom,0,0,B
into,IN,Functional_Concept,B,NA,0,0,B
a,DT,NA,B,NA,0,0,B
new,JJ,Qualitative_Concept,B,NA,0,0,B
town.He,NN,NA,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
easily,RB,Qualitative_Concept,B,NA,4,5,B
irritated.He,JJ,NA,B,NA,0,0,B
say,VBP,NA,B,NA,0,0,B
that,IN,NA,B,NA,0,0,B
he,PRP,NA,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
frustrate,JJ,NA,B,NA,0,0,B
and,CC,Idea_or_Concept,B,NA,2,0,B
depressed.Suddenly,RB,NA,B,NA,0,0,B
he,PRP,NA,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
not,RB,Functional_Concept,B,NA,4,5,B
take,VB,Health_Care_Activity,B,medication,0,0,B
bath,NN,Therapeutic_or_Preventive_Procedure,B,medication,0,0,B
for,IN,Qualitative_Concept,B,NA,0,0,B
weeks.If,NN,NA,B,NA,0,0,B
I,PRP,NA,B,NA,0,0,B
ask,VBP,NA,B,NA,0,0,B
him,PRP,NA,B,NA,0,0,B
about,IN,Qualitative_Concept,B,NA,0,0,B
it,PRP,NA,B,NA,0,0,B
he,PRP,NA,B,NA,0,0,B
say,VB,NA,B,NA,0,0,B
he,PRP,NA,B,NA,0,0,B
forget,VB,Mental_or_Behavioral_Dysfunction,B,symptom,0,0,B
!,.,NA,B,NA,0,0,B
!,.,NA,B,NA,0,0,B
!,.,NA,B,NA,0,0,B
Can,MD,Quantitative_Concept,B,NA,0,0,B
anyone,NN,NA,B,NA,0,0,B
help,VB,Qualitative_Concept,B,NA,0,0,B
me,PRP,NA,B,NA,0,0,B
about,IN,Qualitative_Concept,B,NA,0,0,B
it,PRP,NA,B,NA,0,0,B
.,.,NA,B,NA,0,0,B
','',NA,B,NA,0,0,B
],NN,NA,B,NA,0,0,B
[,NN,NA,B,NA,0,0,B
u,NN,NA,B,NA,0,0,B
'','',NA,B,NA,0,0,B
Hello,NNP,NA,B,NA,0,0,B
everyone,NN,NA,B,NA,4,0,B
!,.,NA,B,NA,0,0,B
I,PRP,NA,B,NA,0,0,B
'm,VBP,NA,B,NA,0,0,B
15,CD,NA,B,NA,0,0,B
years,NNS,Temporal_Concept,B,NA,5,0,B
old,JJ,Temporal_Concept,B,NA,0,0,B
male,NN,Organism_Attribute,B,NA,3,0,B
",",",",NA,B,NA,0,0,B
hypochondriac,NN,NA,B,NA,0,0,B
and,CC,Idea_or_Concept,B,NA,2,0,B
recently,RB,Temporal_Concept,B,NA,0,0,B
I,PRP,NA,B,NA,0,0,B
have,VBP,Qualitative_Concept,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
feel,VBN,Mental_Process,B,NA,0,0,B
terrible,JJ,Qualitative_Concept,B,NA,4,2,B
.,.,NA,B,NA,0,0,B
I,PRP,NA,B,NA,0,0,B
notice,VBP,NA,B,NA,0,0,B
swell,RB,Pathologic_Function,B,NA,1,0,B
lymph,JJ,Body_Substance,B,organ,2,0,B
nod,NN,NA,B,NA,2,0,I
in,IN,NA,B,NA,0,0,B
my,PRP$,NA,B,NA,0,0,B
groin,NN,Body_Location_or_Region,B,organ,2,0,B
",",",",NA,B,NA,0,0,B
neck,NN,Body_Location_or_Region,B,organ,2,0,B
(,(,NA,B,NA,0,0,B
which,WDT,NA,B,NA,0,0,B
kinda,VBP,NA,B,NA,0,0,B
disappear,NN,NA,B,NA,0,0,B
),),NA,B,NA,0,0,B
",",",",NA,B,NA,0,0,B
under,IN,Spatial_Concept,B,NA,0,0,B
jaw,NN,Body_Part_Organ_or_Organ_Component,B,organ,2,0,B
and,CC,Idea_or_Concept,B,NA,2,0,B
under,IN,Spatial_Concept,B,NA,0,0,B
my,PRP$,NA,B,NA,0,0,B
armpit,NN,Body_Location_or_Region,B,organ,0,0,B
.,.,NA,B,NA,0,0,B
I,PRP,NA,B,NA,0,0,B
have,VBP,Qualitative_Concept,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
have,VBP,Qualitative_Concept,B,NA,0,0,B
them,PRP,NA,B,NA,0,0,B
for,IN,Qualitative_Concept,B,NA,0,0,B
quite,RB,Intellectual_Product,B,NA,0,0,B
a,DT,Intellectual_Product,I,NA,0,0,B
lot,NN,Intellectual_Product,I,NA,0,0,B
of,IN,Qualitative_Concept,I,NA,0,0,B
time,NN,Temporal_Concept,B,NA,5,0,B
(,(,NA,B,NA,0,0,B
something,NN,NA,B,NA,0,0,B
like,IN,Mental_Process,B,NA,0,0,B
3,CD,NA,B,NA,0,0,B
years,NNS,Temporal_Concept,B,NA,5,0,B
),),NA,B,NA,0,0,B
and,CC,Idea_or_Concept,B,NA,2,0,B
they,PRP,NA,B,NA,0,0,B
be,VB,NA,B,NA,0,0,B
hard,JJ,Qualitative_Concept,B,NA,4,2,B
",",",",NA,B,NA,0,0,B
movable,JJ,NA,B,NA,0,0,B
",",",",NA,B,NA,0,0,B
<,JJ,NA,B,NA,0,0,B
1.5,CD,Finding,B,NA,0,0,B
cm,NN,NA,B,NA,0,0,B
in,IN,NA,B,NA,0,0,B
the,DT,NA,B,NA,0,0,B
groin,NN,Body_Location_or_Region,B,organ,2,0,B
",",",",NA,B,NA,0,0,B
probably,RB,Idea_or_Concept,B,NA,0,0,B
not,RB,Finding,B,NA,4,5,B
grow,VB,NA,B,NA,0,0,B
(,(,NA,B,NA,0,0,B
I,PRP,NA,B,NA,0,0,B
'm,VBP,NA,B,NA,0,0,B
not,RB,Finding,B,NA,4,5,B
sure,JJ,Finding,I,NA,0,0,B
",",",",NA,B,NA,0,0,B
because,IN,NA,B,NA,0,0,B
I,PRP,NA,B,NA,0,0,B
have,VBP,Qualitative_Concept,B,NA,0,0,B
a,DT,Intellectual_Product,I,NA,0,0,B
few,JJ,Quantitative_Concept,B,NA,4,8,B
growth,NN,Organism_Function,B,symptom,0,0,B
spurt,NN,NA,B,NA,0,0,B
during,IN,Temporal_Concept,B,NA,0,0,B
this,DT,Eukaryote,B,NA,0,0,B
time,NN,Temporal_Concept,B,NA,5,0,B
and,CC,Idea_or_Concept,B,NA,2,0,B
